firm_id,year,province,asset,type,area,staff,industry,age,profit,revenue,wage
601992.SH,2010,11,61221370457,1,1,19935,49,5,54416490.08,23134132620,198.13
601958.SH,2010,61,14374732739,1,4,4874,51,3,38132985.24,7062859478,100.67
601890.SH,2010,32,3843194902,0,1,2044,11,10,89435125.31,1777957429,48
601888.SH,2010,11,6481734320,1,1,5795,32,2,82547313.18,9607624824,162.4
601808.SH,2010,12,63593332259,1,1,9155,34,9,36359772.38,18059856834,232.08
601801.SH,2010,34,4588775982,1,3,4778,22,20,22162872.91,2760380594,93.76
601799.SH,2010,32,874823589.1,0,1,1441,30,10,2786855.55,870769513.9,43.85
601788.SH,2010,31,59578852712,1,1,1965,21,14,85903080.83,5054075247,1121.01
601766.SH,2010,11,73565669874,1,1,82391,11,3,111418941,64908918368,186.19
601688.SH,2010,32,1.13E+11,1,1,3269,21,19,5767176.69,8899978593,609.98
601678.SH,2010,37,4140317165,0,1,2348,47,12,9638703.85,3574502293,40.61
601588.SH,2010,11,25740009334,1,1,4742,17,12,26613078.87,5564129051,220.36
601399.SH,2010,51,20835665341,1,4,11293,11,9,60268673.77,6724976239,98.13
601369.SH,2010,61,12015846640,1,4,2542,11,11,49741382.78,4350062414,298.23
601328.SH,2010,31,3.95E+12,1,1,80137,20,23,30356776.9,1.04E+11,4.25E+02
601177.SH,2010,33,3264636091,1,1,2577,11,13,8379081.09,2209622879,156.29
601169.SH,2010,11,7.33E+11,1,1,5801,20,14,3178687.28,15635226000,974.75
601166.SH,2010,35,1.85E+12,1,1,23340,20,22,2276798.42,43455912752,828
601118.SH,2010,46,12531975343,1,4,77117,48,5,56245625.35,6325548158,144.69
601116.SH,2010,33,1867682156,0,1,8675,58,15,-10462403.25,4823680376,338.48
601107.SH,2010,51,11897692387,1,4,1725,5,13,4621537.09,2729145130,97.8
601106.SH,2010,23,28129255150,1,2,11362,11,2,10746890.61,8591230910,150.99
601099.SH,2010,53,5855582105,0,4,737,21,6,10306312.35,674952652.3,718.72
601098.SH,2010,43,9729731787,1,4,9662,22,2,45044161.97,4762583036,198.78
601018.SH,2010,33,34483280000,1,1,6856,5,2,5404824.13,6003917000,157.29
601009.SH,2010,32,2.21E+11,1,1,2733,20,14,23033268.27,5305526000,502.19
601008.SH,2010,32,3055332297,1,1,4699,5,9,56454716.37,1218564440,92.3
601007.SH,2010,32,1829850361,1,1,826,32,8,84854316.68,514503929.3,112.81
601005.SH,2010,50,22492351000,0,4,12015,46,13,147126940.7,16617840000,79.8
600987.SH,2010,33,2138943385,0,1,7887,27,12,67941623.68,2246997747,85.44
600986.SH,2010,33,1959304940,0,1,468,22,17,37337099.66,955923618.2,21.18
600984.SH,2010,61,840106978.4,1,4,1111,11,9,88446873.53,552798811.3,36
600981.SH,2010,32,2540281566,1,1,347,6,18,138660086.7,5522168689,294.1
600966.SH,2010,37,6647700398,0,1,5452,52,16,88993432.64,4605857523,56.81
