firm_id,year,province_id,asset,type,area,staff,industry,age,revenue,wage,province,total,rice_proportion,rice_to_wheat_ratio,wheat_proportion,ln_y,ln_k,ln_l,ln_a,tfp_cd,tfp_ces
601992.SH,2010,11,61221370457.0,1,1,19935,49,5,23134132620.0,198.13,北京市,313.62,0.0009565716472163764,0.004870920603994154,0.19638415917352212,23.86457496649101,24.837762155985743,9.900232259815455,-0.09642298248821124,0.9080798329558315,6.762050221467195
601958.SH,2010,61,14374732739.0,1,4,4874,51,3,7062859478.0,100.67,陕西省,4237.57,0.027206630214958106,0.10296232127387853,0.264238702841487,22.678115831663455,23.388737831387424,8.491670234185152,0.14577387319308777,1.1569345445552404,8.724955803778562
601890.SH,2010,32,3843194902.0,0,1,2044,11,10,1777957429.0,48.0,江苏省,7462.35,0.2981446863253533,1.0112080719934553,0.29484009728838767,21.29873103055688,22.069569863350306,7.622663951323595,-0.10509798027622175,0.9002363128623305,7.54246201207196
601888.SH,2010,11,6481734320.0,1,1,5795,32,2,9607624824.0,162.4,北京市,313.62,0.0009565716472163764,0.004870920603994154,0.19638415917352212,22.9858228726686,22.592253953476177,8.664750755773852,0.8442958770566378,2.3263392089369686,21.912322837400367
601808.SH,2010,12,63593332259.0,1,1,9155,34,9,18059856834.0,232.08,天津市,438.78,0.04079493140070194,0.1637694419030192,0.2490997766534482,23.616957457661304,24.87577446310156,9.122055457108612,-0.04209281577392332,0.9587807864618015,5.941797295912265
601801.SH,2010,34,4588775982.0,1,3,4778,22,20,2760380594.0,93.76,安徽省,9386.19,0.2491564734998972,0.8928863232003911,0.2790461305385891,21.73863440354545,22.246879154867706,8.471777327885755,-0.12181781463764896,0.8853096442694731,8.642053866513415
601799.SH,2010,32,874823589.1,0,1,1441,30,10,870769513.9,43.85,江苏省,7462.35,0.2981446863253533,1.0112080719934553,0.29484009728838767,20.584887877410036,20.589532811538223,7.273092595999522,0.1867661494677968,1.2053453814306174,13.12530306332264
601788.SH,2010,31,59578852712.0,1,1,1965,21,14,5054075247.0,1121.01,上海市,415.58,0.2898840175176861,2.284657690119477,0.12688291063092544,22.343460734404665,24.810566527785653,7.583247524303362,-0.6369211938026051,0.5289183569077641,2.3640974901668454
601766.SH,2010,11,73565669874.0,1,1,82391,11,3,64908918368.0,186.19,北京市,313.62,0.0009565716472163764,0.004870920603994154,0.19638415917352212,24.896250868288014,25.02144431193402,11.319231486631294,0.23762102461157664,1.2682284743617505,12.503849015043599
601688.SH,2010,32,113000000000.0,1,1,3269,21,19,8899978593.0,609.98,江苏省,7462.35,0.2981446863253533,1.0112080719934553,0.29484009728838767,22.909314708400714,25.45065365565875,8.092239406724211,-0.6550105453288246,0.5194365849285747,2.252287275582145
601678.SH,2010,37,4140317165.0,0,1,2348,47,12,3574502293.0,40.61,山东省,10677.4,0.012049749939123756,0.03526187409214241,0.3417217674714818,21.997091784659293,22.144038231752628,7.761319180947987,0.49224735938848063,1.6359887463348717,13.90577160506192
601588.SH,2010,11,25740009334.0,1,1,4742,17,12,5564129051.0,220.36,北京市,313.62,0.0009565716472163764,0.004870920603994154,0.19638415917352212,22.439606304663865,23.97131240174059,8.464214266625351,-0.419873637311559,0.6571298512635683,4.313311256069098
601399.SH,2010,51,20835665341.0,1,4,11293,11,9,6724976239.0,98.13,四川省,9158.73,0.21475903318473197,1.8710475248278224,0.11478010597539179,22.62909422919387,23.75993203512425,9.331938343723671,-0.4688664615366882,0.6257111340808778,5.24341219090907
601369.SH,2010,61,12015846640.0,1,4,2542,11,11,4350062414.0,298.23,陕西省,4237.57,0.027206630214958106,0.10296232127387853,0.264238702841487,22.19345602999005,23.209492168904053,7.8407064517494,0.03635155487469266,1.0370203519752221,7.034686037533023
601328.SH,2010,31,3950000000000.0,1,1,80137,20,23,104000000000.0,425.0,上海市,415.58,0.2898840175176861,2.284657690119477,0.12688291063092544,25.367656736087785,29.00473669484158,11.291492948999805,-1.59436527349615,0.20303736080575524,0.8075276997988458
601177.SH,2010,33,3264636091.0,1,1,2577,11,13,2209622879.0,156.29,浙江省,2322.55,0.35411939463090136,11.904182949775654,0.029747475834750597,21.516087694928476,21.90641413588255,7.854381210652365,0.1105898642487464,1.116936717221286,10.242686859354366
601169.SH,2010,11,733000000000.0,1,1,5801,20,14,15635226000.0,974.75,北京市,313.62,0.0009565716472163764,0.004870920603994154,0.19638415917352212,23.47279228250071,27.320411538833064,8.665785595466064,-1.4169965437794034,0.24244108567775868,0.7890572430233437
601166.SH,2010,35,1850000000000.0,1,1,23340,20,22,43455912752.0,828.0,福建省,1945.91,0.40576902323334585,540.8150684931508,0.000750291637331634,24.49501276114867,28.246206755018783,10.057923905840546,-1.5125116173150426,0.22035583282523255,0.7916586331963207
601118.SH,2010,46,12531975343.0,1,4,77117,48,5,6325548158.0,144.69,海南省,786.75,0.39098824277089295,inf,0.0,22.567862533101216,23.25154924251128,11.253079028112849,-1.0346231207894245,0.3553602835939512,5.218658585461294
601116.SH,2010,33,1867682156.0,0,1,8675,58,15,4823680376.0,338.48,浙江省,2322.55,0.35411939463090136,11.904182949775654,0.029747475834750597,22.296803037128107,21.347964010241302,9.06820060481506,0.7104117586506833,2.0348289445932948,28.1152973398432
601107.SH,2010,51,11897692387.0,1,4,1725,5,13,2729145130.0,97.8,四川省,9158.73,0.21475903318473197,1.8710475248278224,0.11478010597539179,21.727254257910825,23.199610301200728,7.45298232946546,-0.2626558229345619,0.7690065261784373,4.792762797682496
601106.SH,2010,23,28129255150.0,1,2,11362,11,2,8591230910.0,150.99,黑龙江省,13347.65,0.2352054481500489,11.277129207227272,0.020856854951995296,22.874007858369392,24.0600759802494,9.338029733117072,-0.40092193349937766,0.669702340315445,5.246005034071167
601099.SH,2010,53,5855582105.0,0,4,737,21,6,674952652.3,718.72,云南省,6257.06,0.14912914371925473,2.238640180413608,0.06661595062217718,20.330153101635805,22.49066124920795,6.602587892189336,-0.8936308946891209,0.40916740860616685,2.4749484811769147
601098.SH,2010,43,9729731787.0,1,4,9662,22,2,4762583036.0,198.78,湖南省,8057.99,0.5094632780631398,98.09438470728793,0.00519360287118748,22.284056012627815,22.998452167193985,9.175955945114351,-0.3064083310804868,0.7360859912942097,7.094892116900599
601018.SH,2010,33,34483280000.0,1,1,6856,5,2,6003917000.0,157.29,浙江省,2322.55,0.35411939463090136,11.904182949775654,0.029747475834750597,22.515677926504818,24.263740405827768,8.832879460277615,-0.6672655200458912,0.5131097494997352,3.423707584803863
601009.SH,2010,32,221000000000.0,1,1,2733,20,14,5305526000.0,502.19,江苏省,7462.35,0.2981446863253533,1.0112080719934553,0.29484009728838767,22.392014755840787,26.121428538464166,7.913155185928068,-1.4875680380185599,0.22592142028639792,0.8123170760132041
601008.SH,2010,32,3055332297.0,1,1,4699,5,9,1218564440.0,92.3,江苏省,7462.35,0.2981446863253533,1.0112080719934553,0.29484009728838767,20.920939314325484,21.840154195176872,8.455104999102815,-0.6961968579297269,0.49847748408628995,5.326832224529119
601007.SH,2010,32,1829850361.0,1,1,826,32,8,514503929.3,112.81,江苏省,7462.35,0.2981446863253533,1.0112080719934553,0.29484009728838767,20.058713750332636,21.32750003051104,6.716594773520978,-0.5365571929238557,0.5847579997820581,4.728747538023803
601005.SH,2010,50,22492351000.0,0,4,12015,46,13,16617840000.0,79.8,重庆市,3129.85,0.210259277601163,6.298621745788668,0.03338179145965462,23.533742654028757,23.83644113280324,9.39391114817057,0.36551172568361334,1.441251344805754,12.035507363710092
600987.SH,2010,33,2138943385.0,0,1,7887,27,12,2246997747.0,85.44,浙江省,2322.55,0.35411939463090136,11.904182949775654,0.029747475834750597,21.532860827478874,21.483577798720706,8.97297111339799,-0.09268986655027511,0.9114761357048361,11.931839568086133
600986.SH,2010,33,1959304940.0,0,1,468,22,17,955923618.2,21.18,浙江省,2322.55,0.35411939463090136,11.904182949775654,0.029747475834750597,20.678188570543384,21.395855624846448,6.148468295917647,0.27976427198396614,1.3228179503305695,9.262593985456578
600984.SH,2010,61,840106978.4,1,4,1111,11,9,552798811.3,36.0,陕西省,4237.57,0.027206630214958106,0.10296232127387853,0.264238702841487,20.130504680089807,20.54903979693074,7.01301578963963,-0.13578594374817676,0.8730294899093475,9.039574655786906
600981.SH,2010,32,2540281566.0,1,1,347,6,18,5522168689.0,294.1,江苏省,7462.35,0.2981446863253533,1.0112080719934553,0.29484009728838767,22.432036498520915,21.65554076458905,5.849324779946859,2.0072585143917125,7.44288479079841,45.94469620773623
600966.SH,2010,37,6647700398.0,0,1,5452,52,16,4605857523.0,56.81,山东省,10677.4,0.012049749939123756,0.03526187409214241,0.3417217674714818,22.25059470495288,22.617536826997874,8.603737792816423,0.11978051955507674,1.1272494152234556,10.409891847666614
600963.SH,2010,43,17340225014.0,1,4,4683,52,10,4768228804.0,46.2,湖南省,8057.99,0.5094632780631398,98.09438470728793,0.00519360287118748,22.285240752974207,23.57629478480054,8.451694209183541,-0.3394560580682082,0.7121575898028077,5.099449796069218
600962.SH,2010,11,2027306067.0,1,1,1245,55,19,933836413.4,91.63,北京市,313.62,0.0009565716472163764,0.004870920603994154,0.19638415917352212,20.654811834600544,21.429973688084267,7.126890808898808,-0.17086356303623518,0.8429365733330375,7.3085512377774515
600960.SH,2010,37,2074875297.0,1,1,3209,30,11,1767510616.0,80.0,山东省,10677.4,0.012049749939123756,0.03526187409214241,0.3417217674714818,21.292837961940442,21.4531668909918,8.073714641109857,0.05941853407744624,1.0612193042482931,11.3656912866742
600894.SH,2010,44,4372016510.0,1,1,4226,11,22,6510431948.0,77.33,广东省,4262.77,0.4499750162453053,2230.3953488372094,0.00020174675152541654,22.596671642425022,22.198490183557325,8.349011198176003,0.815462106405465,2.260219893150943,21.693538575481067
