地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年
北京市,0.42,0.31,0.2,0.15,0.17,0.12,0.2,0.2,0.18,0.19,0.2,0.23,0.3,0.38,0.44,0.52,0.69,0.8,0.82,1.61,4.5,6.8,14.06,19.2,19.4,23.2,23.1,23.3,23,26.5,31.6,34.5,34.3,35.5,35.9,38.5,40.1,43.4,44.4,46.1,41.4,49.3,52.2,50,48.5
天津市,55.26,58.5,53.45,45.53,39.9,30.49,26.51,22.15,22.25,22.33,18.62,17.44,17.9,18.1,16.29,14.94,14.07,16.7,13.69,7,14.93,11.43,35.4,61.1,54.4,66.4,61.74,48.1,40.1,41.6,56.1,57.7,45.5,49.5,46.3,40.6,35.3,30.9,23.7,24.1,23.1,33.9,64.2,62.7,37.7
河北省,76.59,78.35,78.72,78.17,78.43,75.02,76.32,79.91,80.49,82.91,82.59,80.33,77.62,83.43,80.46,83.97,88.73,87.66,83.53,75.58,111.04,94.07,143.93,154.66,153.2,155.32,141.78,128.7,117.8,126.7,149.3,150.3,147.7,146.5,132.7,125.3,123.2,127.7,130.9,126.7,127.7,131.6,145.3,123.7,110.2
山西省,2.16,2.65,2.45,2.53,0.8,0.76,0.79,0.78,0.99,1.06,1.08,1.08,1.09,1.18,1.17,1.5,1.47,2.68,2.64,3.11,3.54,5.1,4.53,5.94,6.1,6.14,5.78,6.4,6.6,7.5,8.6,9.7,9.2,8.9,7.5,7.3,8.2,8.5,9.2,9.1,9.7,9.4,12.2,12,11.3
内蒙古自治区,117.23,155.14,160.86,160.7,150.45,122.19,108.84,88.03,85.96,82.37,97.35,94.97,95.05,104.56,99.39,104.51,72.02,84.46,80.9,66.97,89.75,86.2,118.4,116.85,117.8,122.1,89.7,78.6,68.1,73.4,94.3,88.3,79.1,52.9,35.4,27.5,27.1,23.5,18.3,16.5,15.8,15.6,14.9,15.7,6.7
辽宁省,516.39,520.63,520.41,507.11,488.36,492.67,476.39,469.23,492.12,577.9,598.99,607.01,633.93,624.76,637.17,649.71,624.9,568.4,544.2,500.63,556.4,515.5,489.7,501.51,496,491.74,478.07,472.6,458.7,484.2,556.6,547.7,543.3,553.4,553.7,533.3,500.8,480.2,432.2,403.2,405.6,397.3,385.7,374.3,380.2
吉林省,833.18,837.27,837.14,840.39,839.71,820.83,800.19,778.82,757.01,739.37,711.57,697.69,680.19,667.56,665.46,671.56,656.3,654,600.1,540.95,666.1,686.87,584.8,465.2,459,453.1,434.1,429.6,417.5,427.7,442.4,433.4,418.4,389.7,380.3,368.1,351.3,324.2,284.7,266.3,260.4,253.7,252.7,261.1,281.5
黑龙江省,3601.37,3867.39,3872.03,3812.55,3783.1,3948.89,3925.33,3918.35,3968.48,3860.81,3630.7,3437.31,3139.44,2695.35,2629.15,2287.78,1992.2,1650.3,1587.8,1290.9,1564.4,1567,1605.9,1614.87,1566.7,1396.9,1107.5,835.1,747.1,735.5,778.4,746.9,673.5,604.1,552.9,580.6,506.9,389.7,277.5,245.5,239.3,224.1,210.4,206.3,224.3
上海市,103.7,103.84,104.06,103.65,103.58,104.11,106.29,110.16,111.25,114.83,117.61,118.57,120.47,120.48,114.98,115,110.62,112.68,111.79,106.17,133.12,153.91,176.1,200.75,203.3,208.4,210.5,210,209.9,215.8,234.8,247.7,253.4,258.2,260.1,276.2,285.2,269.7,301.1,298.5,282.6,272.5,304.6,324.6,342.9
江苏省,2221.42,2219.2,2202.84,2184.29,2214.72,2237.72,2256.26,2250.32,2236.7,2229.87,2228.94,2227.73,2224.86,2223.75,2222.62,2220.84,2216,2209.33,2112.9,1840.93,1982.05,2010.25,2203.46,2398.45,2369.7,2377.6,2335.94,2250.3,2162.5,2278.5,2447.3,2351.4,2454.5,2419.7,2384.3,2399.5,2422.2,2431.1,2515.9,2520.3,2501.4,2598,2778.5,2703.1,2661.2
浙江省,629.19,633.36,636.02,627.52,651.07,620.68,613.09,634.24,654.2,677.05,700.14,774.48,822.46,860.84,884.89,927.13,994.51,1028.54,1028.05,979.43,1172.34,1340,1597.97,1940.43,2007.9,2085.9,2138.2,2137.8,2075.9,2135.8,2317.9,2378,2383.5,2379.9,2353.7,2376,2355.4,2387.9,2500.3,2507.5,2499.9,2500.1,2513.9,2475.1,2504.1
安徽省,2496.48,2512.15,2512.08,2509.04,2544.76,2605.15,2537.36,2476.37,2422.01,2320.94,2333.58,2333.93,2338.63,2356.49,2254.2,2205.61,2207.69,2149.1,2129.7,1972.4,2044.13,1950.07,2236.67,2145.5,2158.3,2212.1,2238.5,2156.1,2108.3,2169.8,2244.3,2249.8,2312.3,2272.8,2184.2,2207.9,2184.7,2139.7,2169.2,2057.3,2112.1,2127.3,2238.3,2194.5,2246.7
福建省,599.45,599.35,601.72,599.23,619.61,628.59,630.9,659.92,686.4,711.48,734.7,765.49,789.59,814.63,827.71,851.62,890.64,951.55,985.06,962.55,1082.9,1156.5,1222.3,1373.2,1387.9,1401.6,1405.2,1406.3,1402.6,1383.1,1477,1492.5,1511.9,1509.2,1483.3,1493.7,1484.6,1477.2,1587.2,1618,1613.2,1650.8,1686.5,1670.1,1689.1
江西省,3403,3419.2,3441.83,3346.2,3436.2,3504.69,3527.07,3541.3,3522.56,3501.86,3476.53,3441.3,3410.43,3344.17,3313.13,3245.55,3239.34,3129,3029.74,2685.27,2786.61,2808.3,2832,3050.01,2900.8,3063.5,3052.6,3014.9,2938.7,2865.1,2981.5,3154,3292.6,3297.7,3210.5,3268.7,3250.7,3264.9,3326.9,3323.7,3339.5,3362.7,3383.7,3386.8,3380.3
山东省,106.43,113.04,112.48,115.6,113.83,108.86,106.67,117.18,123.24,123.87,124.5,125.07,128.66,134.96,130.92,130.61,127.27,119.8,124.43,112.62,155.32,173.55,176.75,195.82,157.6,164.71,151.56,121.1,113.9,108.8,118.4,147.7,124.2,101.9,88.3,100.9,106.5,111.9,108.4,105,99.5,138.9,172.5,172.1,154.9
河南省,601.7,608.23,617.07,616.6,620.41,615.03,614.09,616.35,614.65,610.97,621.77,616.28,610.84,598.73,596.35,595.86,571.33,511.07,508.53,503,469.4,415.93,459.59,508.47,498.4,489.5,479.85,450.5,446.9,444,507.8,476.9,439.5,426.7,402.2,414.1,411.7,435.5,445.6,410.7,395.3,395.1,416.9,401.7,428.9
湖北省,2263.96,2272.59,2280.73,2286.76,2391,2368.07,2358.67,2383.35,2201.79,2202.55,2086.43,2081.07,2087.84,2093.62,1956.92,2027.17,1975.07,2077.39,1989.61,1805.1,1932,1987.85,1995.29,2284.98,2239.3,2466,2448.58,2408.6,2372.2,2377.8,2537.5,2622.8,2636.5,2606.4,2527.4,2557.5,2540.2,2538.6,2621.3,2617.4,2605.1,2590.1,2708.2,2730.5,2894.7
