地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年
北京市,143.81,117.85,98.18,88.55,103.79,120.94,145.55,172.14,194.64,237.29,278.03,298.62,313.62,316.76,319.01,292.91,319.53,318,312.48,308.83,342,386.4,457.28,527.1,535.3,535.8,538.3,553,551,565,585,590,590,589,595,598,605,618,633,638,642,644,657,677,691
天津市,443.51,437,419.17,410.27,429.27,439.52,443.66,433.28,443.01,441.34,448.98,442.45,438.78,440.31,436.93,429.67,429.79,499.42,504.3,501.46,522.75,544.52,533.14,562.9,578.08,569.4,573.5,573,555,566,574,581,573,573,576.4,574,582,596,623,608,610,637,669,688,700
河北省,8113.99,8097.2,8089.44,8132.69,8197.13,8381.65,8467.51,8457.76,8454.9,8416.01,8361.89,8278.32,8260.75,8416.08,8422.27,8158.13,8713.93,8785.48,8695.35,8638.5,8935.11,8990.81,9024.39,9055.18,9097.72,8857,8872,8720,8649,8677,8571,8815,8787,8765,8787,8690,8773,8657,8708,8674,8602,8833,9014,9243,9371
山西省,3611.59,3587.95,3541.51,3524.42,3555.16,3577.62,3591.54,3612.65,3664.57,3667.89,3696.23,3694.41,3638.11,3561.48,3530.31,3482.17,3471.3,3795.35,3741.48,3707.95,3900.53,3672.25,4042.42,3970.75,4038,3824.9,3946.5,3896,4007,3999,3982,3971,4016,4005,3999,3992,3952,3978,4165,4127,4108,4145,4267,4297,4389
内蒙古自治区,8750.68,8743.34,8882.81,8885.02,8824.07,9014.22,8957.21,8423.68,8079.08,7823.05,7670.84,7539.51,7362.07,6895.77,6750.57,6534.52,6590.03,6215.73,5923.95,5752.75,5887.01,5707.26,5914.36,6077.01,6026.98,5838.2,5291,5079,4925,4868,4854,4768,4722,4576,4559,4474,4556,4549,4631,4631,4641,4662,4797,4881,2439
辽宁省,4326.86,4328.94,4287.78,4217.1,4207.11,4172.32,4242.73,4335.47,4219.8,4154.41,4095.55,3997.53,3950.14,3810.64,3725.86,3736.4,3627.21,3796.7,3723.34,3719.13,3809.2,3964.79,3622.02,3640.07,3630.25,3627,3627.8,3624,3624,3630,3633,3638,3619,3594,3603,3621,3664,3706,3738,3739,3786,3847,3915,3967,4901
吉林省,6226.36,6187.06,6150.99,6117.05,6080.89,6086.2,6063.25,5997.91,5890.5,5632.95,5431.98,5297.23,5258.93,5091.09,5077.82,5035.99,4815.21,4954.12,4903.98,4716.75,4687.67,4890.11,4542.22,4064.32,4061.55,4067.4,4063,4060,4060,4051,4049,4066,4040,4021,4035,4037,4037,4064,4080,4070,4066,4075,4057,4060.47,5002
黑龙江省,15209.41,15065.03,14910.13,14770.08,14673.33,14767.59,14829.46,14811.88,14497.68,14211.99,13929.68,13749.58,13347.65,12840.66,12389.77,12270.97,11678.34,10083.66,9888.4,9802.67,9858.35,9989.19,9329.46,9261.5,9193.78,9030.9,8883.7,8647,8670,8647,8479,8615,8558.47,8453,8233,8515,8463,8582,8622,8607,8479,8727,8724,8524,8844
上海市,269.17,264.35,255.16,261.39,282.27,284.95,303.78,350.64,369.91,391.3,401.64,420.03,415.58,415.4,396.06,399.22,401.44,403.62,404.39,419.19,476.65,490.89,520.7,551.7,556.4,552.2,545.7,542,537,558,602,626,631,636,648,670,679,695,740,764,759,759,776,771,775
江苏省,7534.24,7514.45,7478.4,7442.63,7520.23,7556.4,7639.9,7693.7,7615.79,7597.93,7569.22,7508.44,7462.35,7407.98,7351.62,7256.01,7385.15,7641.2,7668.98,7681.49,7797.85,7777.42,7944.87,8023.43,8058.28,7966.8,7914.1,7909,7856,8032,8235,8092,8259,8384,8385,8500,8514,8558,8584,8542,8626,8507,8747,8491,8582
浙江省,2027.16,2014.59,2014.5,1999.62,1978.68,1981.11,1946.46,1977.8,1986.77,2062.45,2095.67,2267.84,2322.55,2444.08,2471.34,2514.32,2511.37,2837.94,2778.41,2834.39,3064.53,3245.93,3554.33,3899.49,3919.6,3944.1,3963.8,3923,3802,3926,4275,4380,4385,4313,4298,4374,4362,4452,4527,4578,4626,4644,4615,4517,4550
安徽省,8933.59,8886.77,8817.99,8781.96,8771.11,8726.68,8790.1,9598.29,9500.18,9364.9,9336.3,9392.44,9386.19,9344.68,9117.26,8959.1,8790.01,9172.45,9200.35,9124.69,8997.61,8733.1,9005.81,8582.05,8564.23,8488.9,8361.5,8354,8264,8265,8155,8196,8314,8239,8169,8372,8163,8186,7967,7859,8007,7880,7740,8005,8013
福建省,1682.14,1651.87,1631.27,1599.29,1577.31,1549.34,1548.8,1617.17,1670.17,1740.96,1761.23,1878.97,1945.91,2075.31,2132.84,2202.87,2236.35,2481.27,2519.32,2518.92,2661.27,2713.07,2793.25,2915.42,2918.81,2943.7,2900.8,2835,2801,2733,2881,2827,2746,2656,2589,2544,2401,2336,2387,2428,2469,2527,2574,2645,2701
江西省,5730.55,5672.94,5644.37,5521.18,5555.81,5638.46,5668.88,5688.41,5667.34,5636.98,5596.83,5546.41,5505,5488.36,5430.07,5343.79,5280.92,5251.42,5182.78,4997.35,5355.1,5534.72,5650.78,5871,5804.03,6037.6,6015.3,5951,5753,5721,5845,5830,5758,5555,5396,5483,5439,5419,5457,5465,5530,5543,5554,5699.53,5701
山东省,10964.14,10948.59,10889.06,10933.09,11076.8,11107.79,11278.61,11381.01,11316.65,11136.63,10862.27,10782.86,10677.4,10909.98,10989.98,10838.37,10754.12,10736.06,10638.57,10885.28,11047.83,11266.12,11147.34,11236.5,11138.04,10983.1,10976,10837,10876,10744,10838,10997,10883,10799,10958,10888,11043,10861,10772,10494,10313,10421,10572,10665,10739
河南省,14711.51,14705.13,14687.99,14713.98,14783.35,14732.53,14902.72,14879.73,14731.54,14586.5,14386.89,14373.32,14320.79,14235.7,14403.71,14308.5,13995.53,13922.73,13789.66,13684.36,13359.76,13127.7,13136.91,12659.86,12567.05,12276.6,12257.4,12137,12088,12068,11936,12002,11890,11999,11930,11953,11819,11685,11433,11326,11076,11014,10788,10917.6,10967
湖北省,8191.92,8109.24,7974.39,7815.89,7952.9,7956.14,7908.5,7983.43,7791.42,7731.26,7684.4,7454.98,7377.94,7328.5,7131.55,6993.07,6900.59,7279.42,7155.88,7138.26,7354.96,7488.99,7584.07,7788.66,7695.98,7739.2,7579,7414,7181,7126,7187,7424,7361,7261,7229,7337,7374,7332,7388,7399,7461,7263,7477,7777,7931
湖南省,8591.54,8504.26,8400.13,8122.79,8111.09,8321.97,8341.5,8355.22,8398.63,8352.67,8299.62,8178.06,8057.99,7852.21,7613.5,7397.01,7289.73,7977.64,7886.22,7731.24,7789.9,7931.71,8002.05,8027.72,7936.25,8009,7927.4,7840,7731,7654,7961,8040,7952,7749,7496,7475,7536,7477,7639,7746,7970,8009,7909,8334.4,8422
广东省,4553.47,4498.36,4451.81,4357.38,4279.36,4227.51,4181.56,4194.55,4225.19,4178.17,4248.43,4244.73,4262.77,4277.45,4273.85,4296.34,4382.52,4815.37,4807.97,4883.39,4932.39,5193.07,5156.9,5262.83,5540.17,5511.5,5437.5,5304,5205,5146,5487,5659,5672,5548,5376,6130.87,6111,6098,6258,6287,6400,6395,6613,6995,7370
广西壮族自治区,6271.4,6177.52,6107.32,5989.21,5972.38,5969.88,5966.74,6078.81,5855.03,6076.46,6036.16,5899.88,5896.37,5964.99,5850.33,5727.94,5557.26,6489.24,6368.15,6279.07,6299.92,6288.06,6260.7,6289.37,6293.4,6203,6010.5,5746,5516,5385,5374,5327,5141,4950,4735,4612,4548,4443,4511,4625,4810,4829,4878,5102.4,5357
海南省,687.18,684.78,676.86,676.24,712.94,709.44,731.9,757.5,779.4,772.48,786.57,782.4,786.75,800.44,793.61,757.71,699.41,778.06,826.94,906.74,863.34,871.73,906,931.76,937.57,914.5,890.8,870,844,884,868,829,821,790,733,0,0,0,0,0,0,0,0,0,0
重庆市,3479.02,3409.26,3372.54,3345.74,3348.49,3339.56,3333.1,3311.32,3288.58,3318.49,3320.31,3225.78,3129.85,3110.74,3109.13,3104.94,3073.88,3444.73,3435.28,3365.81,3467.05,3555.87,3590.8,3612.49,3614.5,3605.4,0,,,,,,,,,,,,,,,,,,
四川省,10227.36,9999.92,9849.89,9692.98,9615.32,9575.05,9493.82,9451.06,9377.7,9371.69,9319.58,9215.4,9158.73,9157.82,9294.65,9252.44,9341.91,9480.2,9387.53,9384.46,9564.55,9571.5,9609.06,9717.73,9714.39,9497.5,12986.6,12839,12636,12664,12752,12740,12475,12296,12097,11948,11853,11771,11764,11811,12198,12173,12014,11844,11920
贵州省,5359.45,5422.88,5475.35,5481.56,5477.16,5659.37,5604.8,5532.9,5510.5,5388.73,5201.03,4998.1,4896.93,4802.59,4665.46,4535.35,4449.43,4804.1,4695,4634.23,4645.42,4650.7,4696.7,4612.46,4514.23,4492.5,4323.7,4203,4056,3972,3906,3808,3579,3474,3332,3246,3134,3021,2992,2901,2933,2854,2845,3011,3179
云南省,7130.63,7057.24,6989.67,6938.86,6890.77,6790.8,6786.62,6818.64,6842.84,6848.56,6674.13,6484.91,6257.06,6381.56,6194.88,5968.1,5776.18,6053.79,5890.01,5756,5813.12,5929.61,5785.96,5484.16,5225.91,5225.3,5105.1,4959,4848,4770,4708,4600,4492,4360,4226,4077,4024,4004,3996,3966,3968,3973,4008,4122,4136
西藏自治区,277.24,274.19,272.08,271.53,270.38,254.05,263.15,229.69,227.1,225.77,220.24,219.04,218.86,214.62,215.07,213.14,233.01,234.96,231.24,233.66,232.89,230.86,231.05,230.44,229.4,228.6,225,219,216,215,215,216,214,212,210,210,211,210,213,213,219,214,221,222,216
陕西省,4212.23,4189.27,4160.85,4132.09,4091.01,4063.88,4160.15,4050,4053.87,4108.22,4182.84,4193.6,4237.57,4207.83,4214.55,4164.06,3983.47,4201.83,4099.83,4055.78,4198.28,4331.85,4555.39,4726.34,4697.17,4504.1,4777.3,4497,4806,4790,4884,4882,4860,4834,4777,4795,4678,4663,4705,4761,4738,4841,5072,5114,5255
甘肃省,4061.94,3997.94,3931.82,3831.57,3773.55,3752.03,3749.2,3768.38,3775.83,3779.84,3770.7,3774.33,3723.47,3693.94,3676.63,3672.25,3658.74,3726.01,3668.89,3620.92,3649.93,3688.9,3740.18,3808.56,3767.81,3757.9,3763.8,3773,3709,3639,3662,3587,3611,3577,3567,3579,3502,3490,3466,3481,3411,3402,3479,3471.53,3508
青海省,586.19,583.87,571.42,553.54,557.25,555.31,557.75,558.39,553.7,555.77,554.21,540.05,526.75,514.06,500.3,483.37,517.22,476.73,473.3,466.8,494.32,529.02,553.68,571.02,566.93,568,564.4,569,562,548,547,543,545,532,514,508,508,500,507,502,506,505,509,508,515
宁夏回族自治区,1189.49,1175.91,1174.23,1152.96,1164.57,1132.63,1118.85,1132.43,1126.76,1147.08,1176.46,1205.76,1205.86,1205.32,1198.95,1193.77,1109.3,1099.33,1158.31,1129.48,1147.9,1007.59,1016.48,1031.1,1005.34,977.6,977.9,956,918,905,895,901,889,877,873,834,823,828,837,846,807,857,896,908,906
新疆维吾尔自治区,6493.13,6387.42,6280.01,6169.99,6068.89,5886.96,5921.27,5175.47,5074.23,4744.47,4673.34,4475.41,4236.75,4036.09,3887.63,3487.64,4176.59,3731.16,3592.26,3535.02,3478.33,3404.12,3391.55,3379.89,3278.55,3191.5,3081.2,3050,2994,2993,3068,3036,2980,2935,2940,2920,2850,2847,2878,2905,2996,2979,2994,3018,3025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
