地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年
北京市,18.19,13.07,8.39,8.04,9.79,11.27,15.89,20.78,23.58,36.22,52.2,58.14,61.59,60.57,63.9,41.35,63.07,53.3,39.15,35.79,47.4,72.6,121.69,168,171.2,171.3,171.2,172.2,163.6,177.7,191.9,192,188.4,185.4,185.9,182.7,185.1,191.1,194.8,187.1,180.6,183.6,187.9,196.8,191.8
天津市,118.77,118.51,103.96,101.12,110.84,108.77,107.29,105.97,108,107.84,110.89,110.42,109.3,109.1,106.98,104.5,103.4,98.86,78.96,78.3,95.9,106.7,121.7,143.2,153.42,151.1,147.56,141.2,119.6,138.1,142.4,146.1,140.3,137.9,140.7,139.7,144.2,150.3,162.5,155.5,141.4,167.7,194.7,212.9,210.5
河北省,2247.29,2246.58,2216.92,2322.5,2357.19,2373.36,2389.75,2394.18,2403.98,2432.04,2457.06,2435.01,2451.44,2397.75,2431.78,2420.18,2504.47,2377.14,2161.49,2192.92,2449.6,2579.78,2678.8,2729.88,2763.97,2720.73,2591.22,2500.7,2455.5,2525.5,2541.8,2528,2508.3,2453.1,2421.3,2350.2,2492.4,2351.9,2373.5,2345.9,2243.1,2517.7,2760.2,2844,3041.2
山西省,535.05,536.84,535.88,546.8,560.27,560.53,564,575.88,585.08,598.69,619.7,650.11,678.79,689.93,673.19,699.8,659.6,721.03,648.89,720.55,798.12,820.55,893.23,919.24,963.38,951.21,940.36,917,1000.5,1023.5,1034.4,1026.6,1016.1,1013.5,996.2,1010.2,1046.7,1013.1,966.1,947.3,928,944.5,995.1,1056.6,1102.6
内蒙古自治区,386.16,442.15,478.96,538,596.73,673.94,658.79,617.21,619.27,618.29,658.96,599.07,589.76,553.44,462.68,545.34,483.6,460.57,418.7,317.62,464.6,516.2,617.1,937.94,1092.5,1164.6,1094.5,1016.7,1034.4,1188.8,1333.5,1192.3,1153.6,1008.1,974.2,921.1,937.1,926.7,932.3,911.3,877.9,902.9,957.3,952,768.7
辽宁省,2.01,2.74,3.08,2.39,2.39,3.57,2.9,2.97,3.33,3.45,4.49,4.88,5.68,7.15,8.97,11.61,8,22.3,20.6,20.13,49.8,98.75,117.6,152.95,150.18,167.93,177.94,171.3,162.4,183.1,165.5,147.2,114.5,55.1,34.4,27.2,20.5,11.8,15.1,21.3,29.5,34.6,40.9,50.3,128.4
吉林省,5.4,4.46,4.76,2.94,1.2,2.42,0.41,0.37,4,0,4.09,3.89,4.21,4.63,6.18,5.61,1.1,9.5,11.4,22.1,23,53.8,77.3,67.53,74.5,63.5,76.6,80.4,100.9,113.6,80.9,71.4,60.3,50.4,33.3,37.4,49.7,71.1,81,80.7,105.1,123.7,137.5,168.4,217.3
黑龙江省,21.43,67.27,48.74,55.96,109.41,101.79,78.58,70.13,143.99,131.65,208.24,295.65,278.39,291.82,238.11,232.65,243.47,248.5,255,229.6,260.8,423.3,590.2,953.4,961.4,1074.4,1231.4,1116.3,1198.5,1336.5,1614.6,1736.6,1781.1,1681.8,1238.7,1586.9,1969.1,2037.9,1980.2,2096.3,1904.3,2190.3,2105.2,1859.3,1956.9
上海市,15.36,10.91,7.51,9.99,21.34,21.01,35.64,47.27,46.73,46.55,58.02,62.92,52.73,62.48,45.89,39.54,31.39,29.9,21.89,21.65,31.41,31.98,57.1,97.24,103.94,83.3,65.3,61.1,62.3,75.8,77.7,83.8,77.1,70.4,70.3,76.6,72.7,57.4,36.1,37.3,42.6,52.1,50.5,42.6,42.5
江苏省,2377.27,2357.87,2338.89,2346.93,2403.96,2412.75,2436.81,2410.66,2374.13,2344.3,2304.38,2245.83,2200.2,2145.15,2116.99,2039.3,1912.67,1684.44,1601.17,1620.45,1715.85,1712.81,1954.6,2251.7,2315,2341.4,2216.26,2150.4,2114.3,2281.7,2366.3,2364.9,2399.2,2353.5,2247.1,2218.2,2265.9,2170.4,2235.6,2014.1,1866.9,1698.9,1549.5,1496.3,1412.8
